,5_Year_Average_Dividend_Yield,Levered_Free_Cash_Flow,Return_on_Equity,Payout_Ratio,Total_Debt/Equity_(mrq),discretized FADY
0,-1.5516806421923297,0.0308067074090882,-0.0680039055947013,-0.8201327901782199,-0.4166497467863072,1
1,0.0764585902438773,-0.2200351401700013,0.4721113560940383,1.5409466892618071,0.0161775920406641,1
2,-1.1252589124113712,-0.263832923080636,0.200429866627583,-0.8201327901782199,-0.4200603149792703,1
3,-1.075433187033728,-0.4038358541683366,-0.2289978889843134,-0.8201327901782199,-0.5353375199014252,1
4,-0.7335269972210728,4.240702689001004,-0.125269777002122,-0.8201327901782199,-0.4944107015858672,1
5,-0.7335269972210728,4.240702689001004,-0.125269777002122,-0.8201327901782199,-0.4944107015858672,1
6,-0.4129803925129674,1.9598999637911343,-0.2101081050131156,-0.8201327901782199,-0.0766423330878255,1
7,-0.940713763258826,-0.271796156337115,-0.2906382366798009,-0.8201327901782199,-0.5255255775616697,1
8,1.2931862962042688,-0.6507133387912425,-0.2331072454973459,2.207758795530067,0.3340950179047227,2
9,0.9342953901296208,0.1356559452860622,0.5936687729472903,1.5357776031667043,3.591292582744327,1
10,-0.0548429607590425,-0.2352980039115861,-0.2321793262847256,1.2073418251240196,-0.4428848867321777,1
11,-1.1781448701499668,-0.4173049996188996,-0.2260152915151769,-0.8201327901782199,-0.4609871332948282,1
12,-0.9389400708453702,4.99853705390926,0.8465267583863062,-0.2105782529634066,0.4934997282158317,0
13,-0.6588300953724744,-0.0846601748098577,0.025251975273633,-0.2515333197169133,-0.3744111714734556,0
14,-0.8864194504442022,-0.1516840547185562,0.212360256504129,0.3842642699807295,-0.3340090559568151,0
15,0.6366785411896692,0.3858341900937785,-0.1849880063286104,2.230423249947056,-0.1362485710448433,1
16,-1.0009294582363673,-0.3812906136137018,-0.8263790220804739,-0.8201327901782199,0.3102210405539806,1
17,-1.236556919785322,-0.3248843780469753,0.2158730935233342,-0.8201327901782199,0.384676367720361,1
18,1.118117561533709,-0.2711325535657418,-0.217133779051526,1.0133022855540073,-0.3235149999784669,1
19,-1.120913342908533,-0.3726637775858495,-0.2220384948896615,-0.8201327901782199,-0.2733009421220708,1
20,-0.8527597518603285,-0.0196271032152789,2.014975886906468,-0.8201327901782199,5.042108980811822,1
21,1.0305831941984287,0.4521944672311038,0.1065774662654214,1.3982003886355068,0.3183014636573087,1
22,-1.2093959028506935,-0.3895398596646427,-0.0750958595768703,-0.8201327901782199,-0.4435145300908785,1
23,-0.8917297165390091,-0.2518880731959175,-0.0281033794520309,-0.8201327901782199,2.9379326575323685,1
24,-0.7726247729083382,-0.381954216385075,-0.0425524071914032,0.614885034223777,-0.2102841359720898,0
25,0.9518022635966767,0.6293764071877623,-0.0825192132778322,1.0419310700807305,-0.4515949531942066,1
26,-0.4399941770342744,-0.3228935697328555,-0.181674009140681,0.2852563901591454,-0.4939909393467334,0
27,0.2690341983814934,0.3367275850121578,-0.1738529757771675,0.4423170830488069,0.0921020870440133,1
28,-0.6184053882257717,-0.4956791413291662,-0.1991056343491899,-0.0670367083224753,-0.196274571240995,0
29,-1.150098555122713,-0.4119032730599213,-0.1376641264849781,-0.8201327901782199,-0.5420537157275681,1
30,-1.0825753639605686,-0.4266180009123518,-0.2547807871064044,-0.8201327901782199,-0.4725305948710113,1
31,-0.991460691246538,-0.0926234080663367,-0.1106881893752324,0.2582180936616847,-0.3322250664404959,0
32,-0.9645807272003621,-0.3879266413274343,-0.2983267101557972,-0.8201327901782199,-0.3504847238428217,1
33,-0.5537888545701384,-0.2936950477924324,-0.0878216087785193,0.0844572764647678,0.2858748306842127,0
34,-0.9798863154826811,-0.4200669143533551,-0.3079373020007926,-0.8201327901782199,-0.2949711677173598,1
35,-1.0896751236518212,-0.4153858604040881,-0.1710692181393068,-0.8201327901782199,0.0762035922368158,1
36,0.9430488268631492,-0.4584510258551267,-0.1522457141118676,0.7313882823672476,-0.353265648677084,3
37,-1.0784488710735753,-0.4265124880717035,-0.2038777902998083,-0.8201327901782199,0.0703793911688326,1
38,-0.46193166515209694,-0.2452520454821849,0.0419545211007974,-0.045565119927433,0.1757921834713402,1
39,-0.6976133172819154,-0.3268751863610951,-0.2075231872065306,0.0124876931406444,-0.3985475002236565,0
40,-1.2154294346549186,-0.418985905438788,0.1733213696303202,-0.8201327901782199,0.1279917584899641,1
41,1.2669259860036846,-0.6991563411014899,-0.2364212426852753,1.8013891040535248,0.3374531158177942,2
42,0.3828288759173572,-0.3879266413274343,-0.066280627056978,1.91113277807263,-0.4712713081536095,1
43,-0.5973971333619512,-0.3434652556454264,-0.1208737090963006,-0.8201327901782199,6.927510389100895,1
44,-1.16036592627253,-0.2930314450210591,-0.196984676148915,-0.7493560728760432,0.2105275087596728,0
45,1.8008856267488926,0.1568912339700063,-0.1147312659445064,1.7170932385026176,0.0364835903587678,2
46,-1.1009319892510263,-0.5611269646558533,-0.1994370340679828,-0.8201327901782199,-0.4211621908569968,1
47,0.0852120269774053,-0.1808825766589794,-0.0933228441104822,1.209727557167913,0.0756788894378984,1
48,-1.1384387677361874,-0.4160395091338908,0.3218547235933177,-0.8201327901782199,-0.0915963628569718,1
49,-1.1006006220818376,-0.4288377521825953,-0.4112677343204324,-0.8201327901782199,-0.3507470752422805,1
50,0.9605557003302052,-0.7522445628113502,-0.3037616655440015,2.1723704368789787,-0.3101875488859647,0
51,-1.096501932048874,-0.1702649323170073,-0.1894950425041945,0.5910277137848411,0.5109839699761244,0
52,-1.189554539386046,-0.3693457637289832,-0.208583666306668,-0.8201327901782199,2.297254939005523,1
53,0.839724578234682,1.1383597328310473,-0.2357584432476895,0.306330356546872,-0.4291376734005415,1
54,0.2777876351150212,-0.3832814219278215,-0.2421875977922725,1.5453205313422786,-0.2492170836517617,1
55,-0.3174460627648824,-0.2731233618798616,0.5145305200995351,0.1047359988378634,0.5115495044985908,0
56,2.658722426634636,-0.2936950477924324,-0.2527923887936467,1.8089439221925208,-0.3415647762612258,2
57,-0.4399941770342744,-0.2173807290845083,0.0474557564327602,0.147679175627948,-0.2278616797358231,0
58,-0.9435738887526826,-0.612887980822967,-0.6994529297827763,-0.8201327901782199,-0.3193173775871276,1
59,-1.0823584283488812,-0.3773089969854623,-0.0911356059664488,-0.8201327901782199,-0.3790285561039288,1
60,-0.5275285443695543,-0.3102851170767637,9.296026548618716,-0.0443722539054861,5.875949449362067,0
61,-1.0877484953153462,-0.3567373110728914,-0.3170839342394778,-0.3823509601237454,-0.4005413708595426,0
62,-1.359105034054714,-0.2220259484841211,0.0060970715274008,-0.8201327901782199,0.4502117473051454,1
63,-0.8745163023252861,1.4986960376867235,-0.1455514397922502,-0.8201327901782199,-0.4174368009846833,1
64,-0.3787201198995784,-0.3195755558759893,-0.0378465311845434,0.4693553795462677,-0.092960590134157,1
65,-1.367858470788242,-0.7953787429506116,-0.3754102847470359,0.4347622649098105,-0.3863743952887726,0
66,-0.7726247729083382,2.8909346520278083,-0.0339360145027867,0.227998821105699,-0.3016348932636109,0
67,-1.2165739919174219,-0.5286104288585639,-0.4392378705865569,-0.8201327901782199,-0.4961422208222947,1
68,0.1902532677797411,-0.1636289046032748,-0.1826682082970598,1.0610169264318792,-0.1771229190805096,1
69,-1.195673459440513,-0.3924869195723113,-0.1518480344493161,-0.8201327901782199,-0.5492421440727366,1
70,-1.0878976874440105,0.7415252755498422,-0.1524445539431434,-0.8201327901782199,-0.1549804609661949,1
71,-1.516666895258218,0.4813929891715269,0.165301496435531,-0.7362345466346286,-0.3789236155441454,0
72,-0.5275285443695543,-0.3434652556454264,-0.0594537928498434,0.6136921682018303,0.1134050206800602,1
73,-1.226240954333359,-0.3408108445599334,-0.11448142877053036,-0.8201327901782199,-0.13449352100470677,1
74,-1.359105034054714,-0.4325313652080589,-0.0773493776646623,-0.2893074104118952,-0.5425259482465937,0
75,-1.2068795842415336,-0.4382595843305528,-0.0691969445823559,-0.8201327901782199,-0.2912982481249379,1
76,-0.3174460627648824,-0.4596090126911731,-0.1049881142119938,-0.3040194246825723,-0.1269088612241134,0
77,-1.1093280885338075,-0.2956858561065522,0.0106703876467435,-0.8201327901782199,-0.015566927293839,1
78,0.7242129085249491,-0.3434652556454264,0.0216728583106692,2.209349283559329,-0.4260419268869287,1
79,-1.1165217082892023,-0.1576564796609155,-0.1684180203889633,-0.8201327901782199,-0.254201760241477,1
80,-0.7533377025162349,3.1338132663504186,-0.0617073109376354,-0.8201327901782199,-0.4869074515613483,1
81,0.750473218725533,-0.0375443780423567,-0.0021216414986641,2.3807243687123525,0.6855409526196038,1
82,0.5578976105879169,0.1967074002524014,-0.0474571230295388,1.0705598546074533,-0.1622213595912551,1
83,-1.3292349404112354,-0.2206987429413746,-0.1790228113903375,-0.8201327901782199,-0.4959323397027278,1
84,-0.8251453933095062,-0.3501012833591589,-0.0332069351214422,0.2172630269081779,0.1088925766093705,0
85,-1.1892738268236664,-0.4733382904281143,-0.4782767574603657,-0.8201327901782199,-0.5272046265182054,1
86,-0.6150629117048344,-0.3852722302419413,-0.09104873793636822,0.3826737819514671,0.0723264316840735,1
87,0.0151845331091813,-0.2784321840508476,-0.046909931641169494,1.5345847371447576,-0.13452349063051824,1
88,-1.1763758928072379,-0.3666913526434902,-0.1556259912435556,-0.8201327901782199,-0.4945156421456507,1
89,-1.1143987370920887,0.1124298482879983,-0.2166698194452159,-0.8201327901782199,0.3708766841088332,0
90,-1.0973417853537082,-0.3481104750450391,-0.1442921208608369,-0.8201327901782199,-0.4740522329878718,1
91,0.6279251044561409,-0.4641334563863959,0.0091459489402959,1.734588606824504,-0.1987931446757986,1
92,-1.008126477716615,-0.4183986169861227,-0.2433806367799272,-0.8201327901782199,-0.4924693012298728,1
93,-0.7193724646246101,-0.4271449015128222,0.1494605898772283,0.1719341180741996,3.5567146682956703,0
94,-1.2442345676949855,-0.1948182348578177,-0.1374652866537023,-0.8201327901782199,-0.5291984971540915,1
95,2.299831520559988,-0.2432612371680652,-0.3725602471654167,0.6975904117454216,0.0827623772232834,4
96,-0.9802270296155646,0.9717954372163607,-0.3588402988073887,-0.8201327901782199,-0.0433237053565701,1
97,-0.9569755227656017,-0.3421380501026799,-0.285799800785424,-0.8201327901782199,-0.2933970593206075,1
98,0.7417197819920052,-0.523301606687578,-0.2246896926400051,1.7560601952195465,0.2712356225944171,2
99,-0.9743791132778125,-0.3474468722736659,-0.2695612145645697,-0.8201327901782199,-0.5472482734368505,1
100,-1.014716557476893,-0.4169300640530737,-0.472576682297127,-0.8201327901782199,0.2430066120126604,1
